case_id,size_group,tradeoff,nodes,algorithm,execution_time_s,found,states_visited,total_cost,path
G01,small,False,6,Brute Force,1.6700010746717453e-05,True,11,1434,"['A', 'N01', 'N02', 'N03', 'N04', 'T']"
G01,small,False,6,Backtracking,1.3499986380338669e-05,True,11,1434,"['A', 'N01', 'N02', 'N03', 'N04', 'T']"
G01,small,False,6,Branch and Bound,4.469999112188816e-05,True,11,1434,"['A', 'road', 'N01', 'road', 'N02', 'road', 'N03', 'road', 'N04', 'road', 'T']"
G01,small,False,6,A_star,3.330002073198557e-05,True,6,1434,"['A', 'N01', 'N02', 'N03', 'N04', 'T']"
G02,small,False,6,Brute Force,2.5200017262250185e-05,True,14,341,"['A', 'N04', 'T']"
G02,small,False,6,Backtracking,1.6900012269616127e-05,True,9,341,"['A', 'N04', 'T']"
G02,small,False,6,Branch and Bound,4.630000330507755e-05,True,9,341,"['A', 'road', 'N04', 'road', 'T']"
G02,small,False,6,A_star,4.629994509741664e-05,True,3,341,"['A', 'N04', 'T']"
G03,small,False,6,Brute Force,2.3500004317611456e-05,True,16,404,"['A', 'N01', 'N02', 'N04', 'T']"
G03,small,False,6,Backtracking,1.3299984857439995e-05,True,8,404,"['A', 'N01', 'N02', 'N04', 'T']"
G03,small,False,6,Branch and Bound,5.840003723278642e-05,True,8,404,"['A', 'road', 'N01', 'road', 'N02', 'air', 'N04', 'road', 'T']"
G03,small,False,6,A_star,6.079999729990959e-05,True,5,404,"['A', 'N01', 'N02', 'N04', 'T']"
G04,small,False,6,Brute Force,2.759997732937336e-05,True,28,358,"['A', 'N01', 'N04', 'T']"
G04,small,False,6,Backtracking,2.3800006601959467e-05,True,15,358,"['A', 'N01', 'N04', 'T']"
G04,small,False,6,Branch and Bound,4.630000330507755e-05,True,14,358,"['A', 'road', 'N01', 'water', 'N04', 'road', 'T']"
G04,small,False,6,A_star,4.469999112188816e-05,True,5,358,"['A', 'N01', 'N04', 'T']"
G05,small,False,6,Brute Force,2.9099988751113415e-05,True,56,40,"['A', 'T']"
G05,small,False,6,Backtracking,1.390004763379693e-05,True,13,40,"['A', 'T']"
G05,small,False,6,Branch and Bound,3.929995000362396e-05,True,13,40,"['A', 'road', 'T']"
G05,small,False,6,A_star,2.1099986042827368e-05,True,2,40,"['A', 'T']"
G06,small,True,8,Brute Force,0.002019900013692677,True,6119,203,"['A', 'N06', 'T']"
G06,small,True,8,Backtracking,0.00021140003809705377,True,486,203,"['A', 'N06', 'T']"
G06,small,True,8,Branch and Bound,0.00020940002286806703,True,155,203,"['A', 'air', 'N06', 'road', 'T']"
G06,small,True,8,A_star,3.6299985367804766e-05,True,4,203,"['A', 'N06', 'T']"
G07,small,True,8,Brute Force,0.002237000036984682,True,6429,660,"['A', 'N01', 'N06', 'T']"
G07,small,True,8,Backtracking,0.0004831000114791095,True,793,660,"['A', 'N01', 'N06', 'T']"
G07,small,True,8,Branch and Bound,0.0002510999911464751,True,227,660,"['A', 'air', 'N01', 'air', 'N06', 'air', 'T']"
G07,small,True,8,A_star,4.040001658722758e-05,True,4,660,"['A', 'N01', 'N06', 'T']"
G08,small,True,8,Brute Force,0.002618699974846095,True,8101,613,"['A', 'T']"
G08,small,True,8,Backtracking,0.00020209996728226542,True,494,613,"['A', 'T']"
G08,small,True,8,Branch and Bound,0.00016900000628083944,True,158,613,"['A', 'road', 'T']"
G08,small,True,8,A_star,3.50000336766243e-05,True,3,613,"['A', 'T']"
G09,small,True,8,Brute Force,0.002724400022998452,True,8059,338,"['A', 'N01', 'T']"
G09,small,True,8,Backtracking,0.00014329998521134257,True,306,338,"['A', 'N01', 'T']"
G09,small,True,8,Branch and Bound,0.00020430004224181175,True,176,338,"['A', 'road', 'N01', 'air', 'T']"
G09,small,True,8,A_star,3.789999755099416e-05,True,5,338,"['A', 'N01', 'T']"
G10,small,True,8,Brute Force,0.002473000029567629,True,7260,230,"['A', 'N01', 'N02', 'T']"
G10,small,True,8,Backtracking,0.00019270001212134957,True,352,230,"['A', 'N01', 'N02', 'T']"
G10,small,True,8,Branch and Bound,0.0001647999742999673,True,128,230,"['A', 'ship', 'N01', 'ship', 'N02', 'road', 'T']"
G10,small,True,8,A_star,5.23999915458262e-05,True,4,230,"['A', 'N01', 'N02', 'T']"
G11,large,True,15,Brute Force,5.581426199991256,True,17672205,62,"['A', 'N13', 'T']"
G11,large,True,15,Backtracking,0.001811399997677654,True,4541,62,"['A', 'N13', 'T']"
G11,large,True,15,Branch and Bound,0.0007069999701343477,True,633,62,"['A', 'road', 'N13', 'road', 'T']"
G11,large,True,15,A_star,6.559997564181685e-05,True,3,62,"['A', 'N13', 'T']"
G12,large,True,15,Brute Force,5.973125300020911,True,17391836,657,"['A', 'N01', 'N04', 'T']"
G12,large,True,15,Backtracking,0.0011633000103756785,True,2128,657,"['A', 'N01', 'N04', 'T']"
G12,large,True,15,Branch and Bound,0.0008080999832600355,True,502,657,"['A', 'ship', 'N01', 'air', 'N04', 'air', 'T']"
G12,large,True,15,A_star,9.960000170394778e-05,True,5,657,"['A', 'N01', 'N04', 'T']"
G13,large,True,15,Brute Force,11.012153299991041,True,29298040,115,"['A', 'N05', 'T']"
G13,large,True,15,Backtracking,0.002239299996290356,True,3537,115,"['A', 'N05', 'T']"
G13,large,True,15,Branch and Bound,0.0008717000018805265,True,560,115,"['A', 'road', 'N05', 'water', 'T']"
G13,large,True,15,A_star,9.709998266771436e-05,True,4,115,"['A', 'N05', 'T']"
G14,large,True,15,Brute Force,10.34094909997657,True,31094622,169,"['A', 'N01', 'N13', 'T']"
G14,large,True,15,Backtracking,0.0014481000252999365,True,3875,169,"['A', 'N01', 'N13', 'T']"
G14,large,True,15,Branch and Bound,0.0008491000044159591,True,601,169,"['A', 'ship', 'N01', 'road', 'N13', 'road', 'T']"
G14,large,True,15,A_star,0.0001275999820791185,True,6,169,"['A', 'N01', 'N13', 'T']"
