nodes,algorithm,mean_time_s,min_time_s,max_time_s,solved_cases,cases,solve_rate
6,A_star,4.1239988058805464e-05,2.1099986042827368e-05,6.079999729990959e-05,5,5,1.0
6,Backtracking,1.628000754863024e-05,1.3299984857439995e-05,2.3800006601959467e-05,5,5,1.0
6,Branch and Bound,4.699999699369073e-05,3.929995000362396e-05,5.840003723278642e-05,5,5,1.0
6,Brute Force,2.4419999681413175e-05,1.6700010746717453e-05,2.9099988751113415e-05,5,5,1.0
8,A_star,4.04000049456954e-05,3.50000336766243e-05,5.23999915458262e-05,5,5,1.0
8,Backtracking,0.0002465200028382242,0.00014329998521134257,0.0004831000114791095,5,5,1.0
8,Branch and Bound,0.00019972000736743212,0.0001647999742999673,0.0002510999911464751,5,5,1.0
8,Brute Force,0.002414600015617907,0.002019900013692677,0.002724400022998452,5,5,1.0
15,A_star,0.00010957998456433416,6.559997564181685e-05,0.00015799998072907329,5,5,1.0
15,Backtracking,0.0017475400120019913,0.0011633000103756785,0.002239299996290356,5,5,1.0
15,Branch and Bound,0.0008432199945673346,0.0007069999701343477,0.0009802000131458044,5,5,1.0
15,Brute Force,9.388741179986392,5.581426199991256,14.036051999952178,5,5,1.0
17,A_star,0.00019915999146178365,0.00012430001515895128,0.00028659997042268515,5,5,1.0
17,Backtracking,0.002763880020938814,0.0014931000187061727,0.0035304000484757125,5,5,1.0
17,Branch and Bound,0.0012259799987077713,0.000796399952378124,0.0020438999636098742,5,5,1.0
